Unique Code,State,Year,Population,Total Internet Subscriptions,Total Broadband Subscriptions,Total Wireless internet Subscriptions,Cases Reported,high_alert_volume
1,Andhra Pradesh,2014,52143763,17630000.0,4790000.0,15790000.0,282,0
1,Andhra Pradesh,2015,52229924,22100000.0,7530000.0,20060000.0,536,0
1,Andhra Pradesh,2016,52364112,24870000.0,11180000.0,22720000.0,616,0
1,Andhra Pradesh,2017,52375124,31800000.0,21070000.0,29490000.0,931,0
1,Andhra Pradesh,2018,50901123,37610000.0,32060000.000000004,35260000.0,1207,0
1,Andhra Pradesh,2019,53903393,49290000.0,44260000.0,46810000.0,1886,0
1,Andhra Pradesh,2020,87641369,58650000.0,54760000.0,56060000.0,1899,0
2,Arunachal Pradesh,2014,1429913,3000000.0,650000.0,2880000.0,18,0
2,Arunachal Pradesh,2015,1462443,3550000.0,970000.0,3420000.0,6,0
2,Arunachal Pradesh,2016,1493763,4060000.0,1600000.0,3930000.0,4,0
2,Arunachal Pradesh,2017,1506749,4750000.0,2910000.0,4610000.0,1,0
2,Arunachal Pradesh,2018,1511873,5940000.0,4560000.0,5800000.0,7,0
2,Arunachal Pradesh,2019,1548776,6700000.0,5930000.0,6560000.0,8,0
2,Arunachal Pradesh,2020,1570458,7970000.0,7440000.0,7830000.0,30,0
3,Assam,2014,31123769,4110000.000000001,620000.0,4000000.0,379,0
3,Assam,2015,32968997,5480000.0,1280000.0,5370000.0,483,0
3,Assam,2016,33857881,6760000.0,2830000.0,6650000.0,696,0
3,Assam,2017,34068394,8070000.0,4840000.0,7960000.0,1120,0
3,Assam,2018,32652597,9810000.0,7260000.0,9710000.0,2022,0
3,Assam,2019,35080827,11530000.0,10050000.0,11440000.0,2231,0
3,Assam,2020,35607039,14240000.0,13240000.0,14140000.0,3530,0
4,Bihar,2014,107823158,11850000.0,2100000.0,11570000.0,114,0
4,Bihar,2015,109798353,16579999.999999998,3150000.0,16300000.0,242,0
4,Bihar,2016,113042198,19630000.0,5820000.0,19340000.0,309,0
4,Bihar,2017,117153097,24100000.0,12030000.0,23810000.0,433,0
4,Bihar,2018,121741741,28400000.0,20520000.0,28130000.0,374,0
4,Bihar,2019,122256981,39340000.0,33140000.0,39060000.0,1050,0
4,Bihar,2020,124799926,48390000.0,43950000.0,48110000.0,1512,0
5,Gujarat,2014,61565000,19150000.0,4140000.0,17990000.0,227,0
5,Gujarat,2015,62100000,19450000.0,6880000.0,18320000.0,242,0
5,Gujarat,2016,62567890,21100000.0,9770000.0,19750000.0,362,0
5,Gujarat,2017,63000000,27300000.0,18460000.0,25800000.0,458,0
5,Gujarat,2018,68927491,31430000.0,28050000.0,29930000.0,702,0
5,Gujarat,2019,64801901,40180000.0,36850000.0,38620000.0,784,0
5,Gujarat,2020,63872399,45310000.0,43080000.0,43700000.0,1283,0
6,Haryana,2014,25318991,5400000.0,1040000.0,4970000.0,151,0
6,Haryana,2015,26816977,7130000.0,2250000.0,6700000.0,224,0
6,Haryana,2016,27348723,7560000.0,3210000.0,7110000.0,401,0
6,Haryana,2017,27443256,9630000.0,6870000.0,9170000.0,504,0
6,Haryana,2018,28237755,9050000.0,8000000.0,8580000.0,418,0
6,Haryana,2019,27793351,14900000.0,13460000.0,14450000.0,564,0
6,Haryana,2020,28204692,17180000.0,16200000.0,16739999.999999998,656,0
7,Himachal Pradesh,2014,7189306,2050000.0,420000.0,1940000.0,38,0
7,Himachal Pradesh,2015,7252406,2580000.0,740000.0,2480000.0,50,0
7,Himachal Pradesh,2016,7189765,3020000.0,1190000.0,2920000.0,31,0
7,Himachal Pradesh,2017,7246418,3760000.0,2360000.0,3640000.0,56,0
7,Himachal Pradesh,2018,7234695,6940000.0,6260000.0,6820000.0,69,0
7,Himachal Pradesh,2019,7384022,5170000.0,4630000.0,5050000.0,78,0
7,Himachal Pradesh,2020,7451955,6000000.0,5660000.0,5890000.0,98,0
8,Jammu & Kashmir,2014,13090773,2770000.0,530000.0,2670000.0,37,0
8,Jammu & Kashmir,2015,13273505,3380000.0,860000.0,3260000.0,34,0
8,Jammu & Kashmir,2016,13348763,3650000.0,1370000.0,3530000.0,28,0
8,Jammu & Kashmir,2017,13477325,4510000.0,2780000.0,4390000.0,63,0
8,Jammu & Kashmir,2018,14591623,5810000.0,4550000.0,5690000.0,73,0
8,Jammu & Kashmir,2019,13748237,6600000.0,5900000.0,6490000.0,73,0
8,Jammu & Kashmir,2020,13606320,7680000.0,7130000.0,7550000.0,120,0
9,Karnataka,2014,63893301,15490000.0,4870000.0,13840000.0,1020,0
9,Karnataka,2015,64660412,20050000.0,8359999.999999999,18360000.0,1447,0
9,Karnataka,2016,66381097,22630000.0,12180000.0,20780000.0,1101,0
9,Karnataka,2017,65426566,26870000.0,19590000.0,24900000.0,3174,0
9,Karnataka,2018,68159821,32140000.0,27890000.0,30160000.0,5839,0
9,Karnataka,2019,66834193,40390000.0,36490000.0,38360000.0,12020,0
9,Karnataka,2020,67562686,45830000.0,42340000.0,43680000.0,10741,0
10,Kerala,2014,34567881,10890000.0,3550000.0,9310000.0,450,0
10,Kerala,2015,35315493,12970000.0,5870000.0,11370000.0,290,0
10,Kerala,2016,35127890,14600000.0,8140000.000000001,12930000.0,283,0
10,Kerala,2017,35043531,16550000.0,12610000.0,14830000.0,320,0
10,Kerala,2018,34732356,19800000.0,17750000.0,18080000.0,340,0
10,Kerala,2019,35461849,24710000.0,22420000.0,22960000.0,307,0
10,Kerala,2020,35699443,26540000.0,24840000.0,24920000.0,426,0
11,Madhya Pradesh,2014,75340054,15580000.0,2650000.0,14670000.0,289,0
11,Madhya Pradesh,2015,76789374,16559999.999999998,4590000.0,15620000.0,231,0
11,Madhya Pradesh,2016,78984511,20410000.0,7830000.0,19420000.0,258,0
11,Madhya Pradesh,2017,80894777,24770000.0,15040000.0,23730000.0,490,0
11,Madhya Pradesh,2018,82961852,25880000.0,21030000.0,24890000.0,740,0
11,Madhya Pradesh,2019,83849671,41400000.0,35370000.0,40370000.0,602,0
11,Madhya Pradesh,2020,85358965,48720000.0,44710000.0,47780000.0,699,0
12,Maharashtra,2014,117601135,25600000.0,5280000.0,24020000.0,1879,0
12,Maharashtra,2015,118861427,25580000.0,9300000.0,23960000.0,2195,0
12,Maharashtra,2016,119113673,29470000.0,13810000.0,27750000.0,2380,0
12,Maharashtra,2017,119581739,35940000.0,23360000.0,34120000.0,3604,0
12,Maharashtra,2018,124945748,39450000.0,34690000.0,37670000.0,3511,0
